acad_act_cd,section
APS100H1,F
APS110H1,F
APS111H1,F
CIV100H1,F
MAT186H1,F
MAT188H1,F
APS105H1,S
APS112H1,S
ECE191H1,S
ECE110H1,S
MAT187H1,S
MIE100H1,S
ECE201H1,F
ECE231H1,F
ECE241H1,F
ECE244H1,F
MAT290H1,F
MAT291H1,F
ECE212H1,S
ECE216H1,S
ECE221H1,S
ECE243H1,S
ECE295H1,S
ECE297H1,S
