acad_act_cd,section
APS305H1,S
TEP234H1,S
TEP343H1,F
TEP343H1,S
TEP448H1,S
APS510H1,F
APS511H1,S
CHE488H1,S
JRE300H1,F
JRE300H1,S
JRE410H1,F
JRE410H1,S
