acad_act_cd,section
APS420H1,S
APS440H1,S
CME259H1,S
FOR308H1,F
JRE420H1,F
JRE420H1,S
TEP320H1,F
TEP321H1,S
TEP322H1,S
TEP324H1,S
TEP327H1,F
TEP327H1,S
TEP440H1,F
TEP442H1,S
TEP444H1,F
TEP445H1,F
TEP445H1,S
TEP447H1,F
