acad_act_cd,section
BPM232H1,F
BPM333H1,F
BPM338H1,F
BPM338H1,S
CLA204H1,F
CLA204H1,S
GGR124H1,F
GGR124H1,S
PHL240H1,F
PHL244H1,F
POL101H1,F
POL101H1,S
RLG200H1,F
RLG200H1,S
SOC100H1,F
SOC100H1,S
