acad_act_cd
APS420H1
APS440H1
APS444H1
APS447H1
APS500H1
CME259H1
ESC401H1
FOR308H1
HPS280H1
HPS283H1
JRE420H1
MIE201H1
MIE509H1
TEP281H1
TEP320H1
TEP321H1
TEP322H1
TEP324H1
TEP325H1
TEP326H1
TEP327H1
TEP329H1
TEP440H1
TEP442H1
TEP444H1
TEP445H1
TEP447H1
TEP449H1
