Course Code,Term,Course Name,Math,NS,CS,ES,ED
ECE326H1,F,Programming Languages (formerly CSC326H1),0,0,0,38.89,12.96
ECE330H1,S,Quantum and Semiconductor Physics,0,29.28,0,19.52,0
ECE331H1,F,Analog Electronics,0,0,0,36.3,15.55
ECE334H1,S,Digital Electronics,0,0,0,36.3,15.55
ECE334H1,F,Digital Electronics,0,0,0,36.3,15.55
ECE335H1,F,Introduction to Electronic Devices,0,17.38,0,40.57,0
ECE342H1,S,Computer Hardware,0,0,0,27.45,27.45
ECE344H1,F,Operating Systems,0,0,0,32.94,21.96
ECE344H1,S,Operating Systems,0,0,0,32.94,21.96
ECE345H1,F,Algorithms & Data Structures,0,0,0,36.6,12.2
ECE345H1,S,Algorithms & Data Structures,0,0,0,36.6,12.2
ECE349H1,F,Introduction to Energy Systems,0,0,0,51.85,0
ECE350H1,S,Semiconductor Electronic Devices,0,15.55,0,36.3,0
ECE352H1,F,Computer Organization,0,0,0,27.45,27.45
ECE353H1,S,Systems Software,0,0,0,54.9,0
ECE354H1,S,Electronic Circuits,0,0,0,22.875,22.875
ECE355H1,F,Signal Analysis and Communication,0,0,0,48.8,0
ECE356H1,S,Linear Systems and Control,0,0,0,38.89,12.96
ECE357H1,S,Electromagnetic Fields,0,0,0,51.85,0
ECE358H1,F,Foundations of Computing,0,0,0,42.7,0
ECE360H1,F,Electronics,0,0,0,25.925,25.925
ECE361H1,F,Computer Networks I,0,0,0,38.89,12.96
ECE361H1,S,Computer Networks I,0,0,0,38.89,12.96
ECE363H1,S,Communication Systems,0,0,0,51.85,0
ECE367H1,F,Matrix Algebra and Optimization,24.4,0,0,24.4,0
ECE368H1,S,Probabilistic Reasoning,32,0,0,10.7,0
ECE410H1,F,Linear Control Systems,0,0,0,38.89,12.96
ECE411H1,S,Adaptive Control and Reinforcement Learning,0,0,0,38.89,12.96
ECE412H1,S,Analog Signal Processing Circuits (formerly ECE512),0,0,0,24.4,24.4
ECE417H1,F,Digital Communication,0,0,0,38.89,12.96
ECE419H1,S,Distributed Systems,0,0,0,25.925,25.925
ECE421H1,F,Introduction to Machine Learning,0,0,0,48.8,0
ECE421H1,S,Introduction to Machine Learning,0,0,0,48.8,0
ECE422H1,S,Radio and Microwave Wireless Systems,0,0,0,38.89,12.96
ECE424H1,F,Microwave Circuits (formerly ECE524H1),0,0,0,25.925,25.925
ECE427H1,F,Photonic Devices,0,12.2,0,36.6,0
ECE430H1,F,Analog Integrated Circuits (formerly ECE530H1),0,0,0,25.925,25.925
ECE431H1,F,Digital Signal Processing,0,0,0,38.89,12.96
ECE435H1,F,Quantum Computing Hardware,0,0,0,28.975,28.975
ECE437H1,S,VLSI Technology,0,0,0,27.45,27.45
ECE441H1,F,Interfacing & Modulating the Nervous System,0,0,0,67.1,0
ECE442H1,F,Introduction to Micro- and Nano-Fabrication Technology,0,0,0,56.4,0
ECE444H1,F,Software Engineering (formerly CSC444H1),0,0,0,27.45,27.45
ECE446H1,F,Audio Acoustics and Sensing,0,11.43,0,16.01,18.3
ECE448H1,S,Biocomputation,0,12.2,0,36.6,0
ECE454H1,F,Computer Systems Programming,0,0,0,27.45,27.45
ECE461H1,F,Internetworking,0,0,0,48.8,0
ECE462H1,S,Multimedia Systems,0,0,0,48.8,0
ECE463H1,S,Electric Drives,0,0,0,38.89,12.96
ECE464H1,S,Wireless Communication,0,0,0,38.89,12.96
ECE466H1,S,Computer Networks II,0,0,0,38.89,12.96
ECE467H1,F,Compilers and Interpreters (formerly CSC467H1),0,0,0,38.89,12.96
ECE469H1,S,Optical Communications and Networks,0,0,0,12.96,38.89
ECE470H1,S,Robot Modeling and Control,0,12.96,0,38.89,0
ECE470H1,F,Robot Modeling and Control,0,12.96,0,38.89,0
ECE484H1,S,Quantum Information Processing: Algorithms & Software,0,0,0,24.4,24.4
ECE499H1,F,Research Thesis,0,0,0,0,0
ECE499Y1,Y,Research Thesis,0,0,0,0,0
ECE516H1,S,Intelligent Image Processing,0,0,0,41.175,13.725
ECE520H1,F,Power Electronics,0,0,0,25.925,25.925
ECE526H1,F,Power System Protection and Automation,0,0,0,48.8,0
ECE532H1,S,Digital Systems Design,0,0,0,21.96,32.94
ECE537H1,F,Random Processes,48.8,0,0,0,0
ECE552H1,F,Computer Architecture,0,0,0,25.925,25.925
ECE557H1,F,Systems Control,0,0,0,38.89,12.96
ECE568H1,F,Computer Security,0,0,0,27.45,27.45
ECE568H1,S,Computer Security,0,0,0,27.45,27.45
EEB202H1,F,Plants and Society,0,24,0,0,0
EEB214H1,S,Evolution and Adaptation,0,0,30,0,0
EEB386H1,S,Diversity of Birds,0,36,0,0,0
EESA10H3,S,Human Health and the Environment,0,0,30,0,0
ENV101H1,S,Confronting the Climate Crisis,0,0,24,0,0
ENV200H1,S,Assessing Global Change: Science and the Environment,0,26,0,0,0
ENV235H1,S,Physics and the Environment,0,30,0,0,0
ESC384H1,F,Partial Differential Equations,41.3,0,0,0,0
ESS103H1,F,Geology in Public Issues,0,24,0,0,0
ESS105H1,S,Our Home Planet,0,24,0,0,0
ESS205H1,S,Confronting Global Change,0,28,0,0,0
ESS241H1,F,Geologic Structures and Maps,0,41.6,0,0,0
